bin_width,region,binom_prop,betabinom_prop,comb_binom
10ms,hippocampus,6.634232640424591e-05,0.34774436090225563,0.6521892967713401
10ms,motor_cortex,0.0,0.3216939407341884,0.6783060592658116
10ms,striatum,0.0004643962848297213,0.2199248120300752,0.7796107916850951
10ms,thalamus,0.00048651039363113664,0.19889429455992924,0.8006191950464396
10ms,v1,0.0,0.4612118531623176,0.5387881468376824
1ms,hippocampus,0.0009936406995230524,0.07088632750397457,0.9281200317965024
1ms,motor_cortex,0.0,0.03899046104928458,0.9610095389507154
1ms,striatum,0.0014904610492845788,0.027782193958664547,0.9707273449920508
1ms,thalamus,0.0010135135135135136,0.04262718600953895,0.9563593004769476
1ms,v1,0.0007352941176470588,0.06981319554848966,0.9294515103338632
5ms,hippocampus,0.00022624434389140272,0.2869600987248046,0.7128136569313039
5ms,motor_cortex,0.0,0.2019744960921432,0.7980255039078569
5ms,striatum,0.0008227067050596463,0.10923488276429454,0.8899424105306458
5ms,thalamus,0.0005964623611682435,0.13786507610037022,0.8615384615384616
5ms,v1,0.0002056766762649116,0.2833196215549157,0.7164747017688194
